2026-02-21 20:49:47 | SUCCESS | reading=227108
2026-02-21 20:53:24 | FAIL | NOT_FOUND
2026-02-21 21:07:26 | SUCCESS | reading=227108
2026-02-22 16:29:25 | SUCCESS | mode=odometer | value=10755
2026-02-22 16:36:30 | SUCCESS | mode=tyre | value=042 450000 3922
2026-02-22 16:53:45 | SUCCESS | mode=tyre | value=042 450000 3922
2026-02-22 17:01:13 | SUCCESS | mode=odometer | value=091308
2026-02-22 17:02:05 | SUCCESS | mode=tyre | value=042 450000 3922
2026-05-29 12:57:23 | FAIL | mode=odometer | NOT_FOUND
2026-05-29 13:10:52 | SUCCESS | mode=odometer | value=144969
2026-05-29 13:12:42 | FAIL | mode=odometer | NOT_FOUND
2026-05-29 13:15:13 | SUCCESS | mode=odometer | value=144969
2026-05-29 13:17:24 | FAIL | mode=odometer | NOT_FOUND
2026-05-29 13:34:46 | SUCCESS | mode=odometer | value=144969
2026-05-29 13:35:34 | FAIL | mode=odometer | NOT_FOUND
2026-05-29 13:42:30 | FAIL | mode=odometer | NOT_FOUND
2026-05-29 13:44:44 | FAIL | mode=odometer | NOT_FOUND
2026-05-29 13:50:10 | SUCCESS | mode=odometer | value=144969
2026-05-29 13:50:50 | SUCCESS | mode=odometer | value=144969
2026-05-29 13:56:34 | SUCCESS | mode=odometer | value=144969
2026-05-31 22:20:19 | FAIL | mode=odometer | NOT_FOUND
2026-05-31 22:21:16 | SUCCESS | mode=odometer | value=144969
2026-05-31 23:05:23 | FAIL | mode=odometer | NOT_FOUND
